school_name_std,address,city,zip,county,FedCong,included_in_program,registered,n_incidents,had_incident,n_disp_return,perc_disp_return
21st century primary center,240 S Orchard Dr,Park Forest,60466 2045,Cook,02,1,1,0,0,NA,NA
a b shepard high sch campus,13049 S Ridgeland Ave,Palos Heights,60463 2625,Cook,06,1,1,0,0,NA,NA
a f ames elem school,86 Southcote Rd,Riverside,60546 1633,Cook,04,1,1,3,1,3,1
a j katzenmaier academy,1829 Kennedy Dr,North Chicago,60064 2335,Lake,10,1,1,0,0,NA,NA
a o marshall elem school,319 Harwood St,Joliet,60432 2716,Will,14,1,NA,0,0,NA,NA
a vito martinez middle school,590 Belmont Dr,Romeoville,60446 1400,Will,14,1,1,0,0,NA,NA
a c central elementary school,191 S Bluff St,Chandlerville,62627 9128,Cass,15,1,NA,0,0,NA,NA
a c central high school,601 W Buchanan St,Ashland,62612 0260,Cass,15,1,NA,0,0,NA,NA
a c central middle school,601 W Buchanan St,Ashland,62612 0260,Cass,15,1,NA,0,0,NA,NA
a e r o therapeutic center,5400 W 77th St,Burbank,60459,Cook,04,1,1,0,0,NA,NA
a n c h o r academy,12015 Maple Ave,Blue Island,60406 1023,Cook,01,1,NA,0,0,NA,NA
abbott middle school,949 Van St,Elgin,60123 6131,Kane,08,1,NA,0,0,NA,NA
abe lincoln elem school,3545 S 61st Ave,Cicero,60804 4145,Cook,04,1,1,1,1,0,0
abingdon avon high sch,600 W Martin St,Abingdon,61410 1402,Knox,17,1,1,0,0,NA,NA
abingdon avon middle sch,320 E Woods St,Avon,61415 9423,Knox,17,1,1,0,0,NA,NA
able adaptive behavioral learning environment program,300 W 154th Street,South Holland,60473,NA,NA,1,1,0,0,NA,NA
able program,300 W 154Th St,South Holland,60473,Cook,02,1,NA,0,0,NA,NA
abraham lincoln elem school,1111 S Grove Ave,Oak Park,60304 1908,Cook,07,1,NA,0,0,NA,NA
abraham lincoln elem school,380 Greenfield Ave,Glen Ellyn,60137 5310,Dupage,06,1,NA,0,0,NA,NA
abraham lincoln elem school,820 Royal Heights Rd,Belleville,62226 5704,Saint Clair,13,1,1,0,0,NA,NA
abraham lincoln middle school,1500 Charles St,Rockford,61104 2310,Winnebago,17,1,NA,0,0,NA,NA
academic behaviorandcommunity acad,1416 Maine St,Quincy,62301 4261,N/A,NA,0,NA,0,0,NA,NA
academy for global citizenship,4942 W 44Th St,Chicago,60638 1900,Cook,04,1,1,0,0,NA,NA
academy for learning,306 E 144Th St,Dolton,60419 1119,Cook,02,1,1,0,0,NA,NA
academy for lifelong learning all,410 Ashland Ave,Chicago Heights,60411 1665,Cook,02,0,NA,0,0,NA,NA
acdc penniman,300 Annunciation Ct,Cahokia,62206 2276,Saint Clair,13,0,NA,0,0,NA,NA
ace amandla charter school,6820 S Washtenaw Ave,Chicago,60629 1826,Cook,NA,1,NA,0,0,NA,NA
acero chtr sch network bartolome de las casas elem sch,1641 W 16th St,Chicago,60608 2039,Cook,04,1,1,0,0,NA,NA
acero chtr sch network brighton park elem school,4420 S Fairfield Ave,Chicago,60632 1937,Cook,04,1,1,0,0,NA,NA
acero chtr sch network carlos fuentes elem school,2845 W Barry Ave,Chicago,60618 7015,Cook,03,1,1,1,1,1,1
acero chtr sch network esmeralda santiago elem sch,2510 W Cortez St,Chicago,60622 3422,Cook,03,1,1,1,1,1,1
acero chtr sch network jovita idar elem school,5050 S Homan Ave,Chicago,60632 3059,Cook,04,1,1,0,0,NA,NA
acero chtr sch network major hector p garcia md h s,4248 W 47th St,Chicago,60632 4402,Cook,04,1,1,2,1,2,1
acero chtr sch network octavio paz elem school,2651 W 23rd St,Chicago,60608 3609,Cook,04,1,1,0,0,NA,NA
acero chtr sch network officer donald j marquez elem,2916 W 47th St,Chicago,60632 1907,Cook,04,1,1,0,0,NA,NA
acero chtr sch network pfc omar e torres elem sch,4248 W 47th St,Chicago,60632 4402,Cook,04,1,1,0,0,NA,NA
acero chtr sch network rufino tamayo elem sch,5135 S California Ave,Chicago,60632 2124,Cook,04,1,1,0,0,NA,NA
acero chtr sch network spc daniel zizumbo elem sch,4248 W 47th St,Chicago,60632 4402,Cook,04,1,1,2,1,2,1
acero chtr sch network victoria soto campus,5025 S St Louis Ave,Chicago,60632 3159,Cook,04,1,1,0,0,NA,NA
acero chtr sch network sandra cisneros elem school,2744 W Pershing Rd,Chicago,60632 1631,Cook,04,1,1,0,0,NA,NA
acero chtr sch network sor juana ines de la cruz k 12,7416 N Ridge Blvd,Chicago,60645,Cook,09,1,1,0,0,NA,NA
acero chtr sch newtwork roberto clemente elem school,2050 N Natchez Ave,Chicago,60707 3420,Cook,03,1,1,0,0,NA,NA
achieve program,4670 11Th St,East Moline,61244 4428,Rock Island,17,NA,1,0,0,NA,NA
actions program,402 N Randolph St,Champaign,61820 3524,Champaign,13,0,NA,0,0,NA,NA
adam brwn cass morgn pik sctt roe,507 Vermont St,Quincy,62301 2920,N/A,NA,0,NA,0,0,NA,NA
adams co juvenile detention cntr,200 N 52nd St,Quincy,62305 9114,Adams,15,0,1,0,0,NA,NA
adams county rssp,1416 Maine St,Quincy,62301 4261,N/A,NA,0,NA,0,0,NA,NA
adams elem school,1311 Nicholson Rd,Lincoln,62656 1202,Logan,15,1,1,0,0,NA,NA
adams school,15470 Lake of Egypt Rd,Creal Springs,62922 3731,Williamson,12,1,NA,0,0,NA,NA
addams elem school,10810 S Avenue H,Chicago,60617 6726,Cook,02,1,1,1,1,1,1
addison early learning center,650 S Ardmore Ave,Addison,60101 4802,Dupage,06,1,NA,0,0,NA,NA
addison trail high school,213 N Lombard Rd,Addison,60101 1906,Dupage,03,1,1,1,1,1,1
adlai e stevenson high school,1 Stevenson Dr,Lincolnshire,60069 2824,Lake,10,1,1,0,0,NA,NA
adlai stevenson elem school,1414 Armstrong Ln,Elk Grove Village,60007 3158,Cook,08,1,1,0,0,NA,NA
adler park school,1740 N Milwaukee Ave,Libertyville,60048 1317,Lake,10,1,NA,0,0,NA,NA
adm richard e byrd elem school,265 Wellington Ave,Elk Grove Village,60007 3405,Cook,08,1,1,1,1,0,0
adolph link elem school,900 W Glenn Trl,Elk Grove Village,60007 3025,Cook,08,1,1,1,1,1,1
adult life academy,1617 Lake Land Blvd,Mattoon,61938,Coles,15,1,NA,0,0,NA,NA
adult life academy,1617 Lake Land Blvd,Mattoon,61938,Coles,15,0,NA,0,0,NA,NA
aero therapeutic center,5400 W 77th Street,Burbank,60459,NA,NA,1,1,0,0,NA,NA
air force acad high school,3630 S Wells St,Chicago,60609 1833,Cook,07,1,1,0,0,NA,NA
akin comm cons elem school,21962 Akin Blacktop,Akin,62890 1304,Franklin,12,1,1,0,0,NA,NA
alan b shepard elem school,325 N Convent St,Bourbonnais,60914 2015,Kankakee,01,1,NA,0,0,NA,NA
alan b shepard middle school,440 Grove Ave,Deerfield,60015 4219,Lake,10,1,1,1,1,1,1
albany park multicultural elem,4929 N Sawyer Ave,Chicago,60625 5008,Cook,03,1,1,0,0,NA,NA
albers elem school,206 N Broadway,Albers,62215 0104,Clinton,12,1,NA,0,0,NA,NA
albert cassens elementary,1014 Glen Crossing Rd,Glen Carbon,62034 8517,Madison,13,1,NA,0,0,NA,NA
