School Name,School Type,Youth Attendees,Address,Year,full_address,latitude,longitude
Haugan Elementary,Elementary,150,"4540 N Hamlin Ave, Chicago, IL  60625",2022-10-24T00:00:00Z,"4540 N Hamlin Ave, Chicago, IL  60625 Chicago, IL",41.963725039719,-87.723663983738
Ralph Ellison High,High School,17,"1817 W 80th St, Chicago, IL  60620",2022-11-04T00:00:00Z,"1817 W 80th St, Chicago, IL  60620 Chicago, IL",41.748062233323,-87.669123191232
Jane Addams Elementary,Elementary,120,"10810 S Avenue H Chicago, IL 60617",2022-11-11T00:00:00Z,"10810 S Avenue H Chicago, IL 60617 Chicago, IL",41.698549451166,-87.533408360338
Lawndale Academy,Elementary,18,"3500 W Douglas Blvd, Chicago, IL  60623",2022-12-06T00:00:00Z,"3500 W Douglas Blvd, Chicago, IL  60623 Chicago, IL",41.863316084195,-87.713239075482
Lawndale Academy,Elementary,17,"3500 W Douglas Blvd, Chicago, IL  60623",2022-12-07T00:00:00Z,"3500 W Douglas Blvd, Chicago, IL  60623 Chicago, IL",41.863316084195,-87.713239075482
Lawndale Academy,Elementary,20,"3500 W Douglas Blvd, Chicago, IL  60623",2022-12-08T00:00:00Z,"3500 W Douglas Blvd, Chicago, IL  60623 Chicago, IL",41.863316084195,-87.713239075482
Shields Middle,Middle,413,"2611 W 48th St Chicago, IL 60632",2023-01-24T00:00:00Z,"2611 W 48th St Chicago, IL 60632 Chicago, IL",41.80629072795,-87.690704077338
Throp Elementary,Elementary,65,"8914 S Buffalo Ave Chicago, IL 60617",2023-01-31T00:00:00Z,"8914 S Buffalo Ave Chicago, IL 60617 Chicago, IL",41.733003264169,-87.544832139995
Nobel Elementary,Elementary,225,"4127 W Hirsch St Chicago, IL 60651",2023-02-07T00:00:00Z,"4127 W Hirsch St Chicago, IL 60651 Chicago, IL",41.905827881724,-87.729855779433
Douglas Taylor Elementary,Elementary,135,"9912 S Avenue H, Chicago, IL  60617",2023-02-27T00:00:00Z,"9912 S Avenue H, Chicago, IL  60617 Chicago, IL",41.715340205336,-87.533307609862
Douglas Taylor Elementary,Elementary,135,"9912 South Avenue H, Chicago, IL 60617",2023-02-27T00:00:00Z,"9912 South Avenue H, Chicago, IL 60617 Chicago, IL",41.715340205336,-87.533307609862
Acero-Rufino Tamayo,Elementary,120,"5135 S California Chicago, IL 60632",2023-03-06T00:00:00Z,"5135 S California Chicago, IL 60632 Chicago, IL",41.799954051059,-87.69362039291
Nathan Hale,Elementary,200,"6140 S Melvina Ave, Chicago, IL  60638",2023-03-09T00:00:00Z,"6140 S Melvina Ave, Chicago, IL  60638 Chicago, IL",41.780503383735,-87.776970121906
Henry Clay Elementary,Elementary,172,"13231 S Burley Ave Chicago, IL 60633",2023-03-10T00:00:00Z,"13231 S Burley Ave Chicago, IL 60633 Chicago, IL",41.654662518601,-87.544029740404
Ogden Highschool,High School,150,"1250 W Erie St, Chicago, IL 60642",2023-03-24T00:00:00Z,"1250 W Erie St, Chicago, IL 60642 Chicago, IL",41.893787361632,-87.6588036435
Instituto Health Science Academy,Elementary,536,"2520 S Western Ave Chicago, IL 60608",2023-03-27T00:00:00Z,"2520 S Western Ave Chicago, IL 60608 Chicago, IL",41.845669914896,-87.685869227949
Parkside Elementary,Elementary,67,"6938 S East End Ave Chicago, IL 60649",2023-03-31T00:00:00Z,"6938 S East End Ave Chicago, IL 60649 Chicago, IL",41.768909283806,-87.583305829942
Perspective Leadership School,High School,200,"8522 S Lafayette Ave Chicago, IL 60620",2023-04-10T00:00:00Z,"8522 S Lafayette Ave Chicago, IL 60620 Chicago, IL",41.739027254162004,-87.626595845272
George Washington HS,High School,210,"3535 E 114th St Chicago, IL 60617",2023-04-26T00:00:00Z,"3535 E 114th St Chicago, IL 60617 Chicago, IL",41.687165820825,-87.538186212787
Ogden Highschool,High School,150,"1250 W Erie St, Chicago, IL 60642",2023-05-12T00:00:00Z,"1250 W Erie St, Chicago, IL 60642 Chicago, IL",41.893787361632,-87.6588036435
Deenen Elementary,Elementary,47,"7257 S State Chicago, IL 60619",2023-05-18T00:00:00Z,"7257 S State Chicago, IL 60619 Chicago, IL",41.762139388249,-87.624098708678
Ogden Highschool,High School,150,"1250 W Erie St, Chicago, IL 60642",2023-05-19T00:00:00Z,"1250 W Erie St, Chicago, IL 60642 Chicago, IL",41.893787361632,-87.6588036435
John L Marsh,Elementary,288,"9822 S Exchange Ave Chicago, IL 60617",2023-05-19T00:00:00Z,"9822 S Exchange Ave Chicago, IL 60617 Chicago, IL",41.716250982935,-87.553138857499
Cardenas Elementary,Elementary,200,"2524 S Central Ave Chicago, IL 60623",2023-09-13T00:00:00Z,"2524 S Central Ave Chicago, IL 60623 Chicago, IL",41.845557429756,-87.715132212134
Stagg Elementary,Elementary,100,"7424 S Morgan Chicago, IL 60621",2023-10-25T00:00:00Z,"7424 S Morgan Chicago, IL 60621 Chicago, IL",41.759006358571,-87.64938414453
Ashburn Community Elementary,Elementary,75,"8300 S St. Louis Ave Chicago, IL 60652",2023-11-08T00:00:00Z,"8300 S St. Louis Ave Chicago, IL 60652 Chicago, IL",41.741899397104,-87.709813475474
Faraday Elementary,Elementary,25,3250 W Monroe St Chicago IL 60624,2023-11-09T00:00:00Z,"3250 W Monroe St Chicago IL 60624 Chicago, IL",41.879920550566,-87.707484731314
Mansueto HS,High School,20,"2911 W 47th St Chicago,IL 60632",2023-12-01T00:00:00Z,"2911 W 47th St Chicago,IL 60632 Chicago, IL",41.807579990387,-87.696920012914
Throp Middle,Middle,45,8914 S Buffalo Ave Chicago IL 60617,2023-12-19T00:00:00Z,"8914 S Buffalo Ave Chicago IL 60617 Chicago, IL",41.733003264169,-87.544832139995
